Item,Link,Category,Budget,Cost,Paid by,Notes
Enclosures,AliExpress,,,$180.00,,https://www.aliexpress.us/item/3256808320636390.html?spm=a2g0o.order_list.order_list_main.5.71ed1802nooOfW&gatewayAdapt=glo2usa
Filters (Purchased),BayMesh3,,,$280.00,,
Filters (On hand),DaDub,,,$300.00,,
Antennas,eBay,,,$626.00,,https://www.ebay.com/itm/336378014291
Batteries,18650 Store,,,$115.00,,https://www.18650batterystore.com/products/samsung-50e
Solar Panels / Liquid Nails,Amazon ,,,$192.57,,http://amazon.com/dp/B0GCH9894Z?ref=ppx_yo2ov_dt_b_fed_asin_title
SolarXiaos OR Gat 562,MTools,,,$228.00,,https://shop.mtoolstec.com/product/gat562-30s-mesh-solar-repeater
Standoffs ,Custom,,,$260.00,,
Custom Cable,eBay,,,$47.00,,https://www.ebay.com/itm/185641128519?var=693531540086
Spray Paint ,Amazon ,,,$23.00,,http://amazon.com/dp/B00106H68W?ref=ppx_yo2ov_dt_b_fed_asin_title
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Running Total,,,$0.00,"$2,251.57",,Cost per node ~$375ea
Total Raised as of 4/10 - ,,,,"$1,440.26",,
Difference Needed ,,,,$811.31,,
